date,death penalty,drug policy,incarcer,gun control,shooting,abortion,pro life,arts,civil rights,racism,budget,economy,stock,taxes,recession,debt,budget,education,college,student debt,air quality,global warming,carbon dioxide,climate change,greenhouse,campaign finance reform,privatization,health insurance,medicaid,medicare,social security,welfare,defense spending,war,albania,algeria,america,andorra,angola,antigua,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bissau,bolivia,bosnia,botswana,brazil,british,brunei,bulgaria,burkina,burma,burundi,cambodia,cameroon,canada,cape verde,central african republic,chad,chile,china,colombia,comoros,congo,costa rica,country debt,croatia,cuba,cyprus,czech,denmark,djibouti,dominica,east timor,ecuador,egypt,el salvador,emirate,england,eritrea,estonia,ethiopia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,great britain,greece,grenada,grenadines,guatemala,guinea,guyana,haiti,herzegovina,honduras,hungary,iceland,in usa,india,indonesia,iran,iraq,ireland,israel,italy,ivory coast,jamaica,japan,jordan,kazakhstan,kenya,kiribati,korea,kosovo,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,liechtenstein,lithuania,luxembourg,macedonia,madagascar,malawi,malaysia,maldives,mali,malta,marshall,mauritania,mauritius,mexico,micronesia,moldova,monaco,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nauru,nepal,netherlands,new zealand,nicaragua,niger,nigeria,norway,oman,pakistan,palau,panama,papua,paraguay,peru,philippines,poland,portugal,qatar,romania,russia,rwanda,samoa,san marino,sao tome,saudi arabia,scotland,scottish,senegal,serbia,seychelles,sierra leone,singapore,slovakia,slovenia,solomon,somalia,south africa,south sudan,spain,sri lanka,st. kitts,st. lucia,st kitts,st lucia,saint kitts,santa lucia,sudan,suriname,swaziland,sweden,switzerland,syria,taiwan,tajikistan,tanzania,thailand,tobago,togo,tonga,trinidad,tunisia,turkey,turkmenistan,tuvalu,uganda,ukraine,united kingdom,united states,uruguay,usa,uzbekistan,vanuatu,vatican,venezuela,vietnam,wales,welsh,yemen,zambia,zimbabwe
2004-01-01,81,51,0,26,17,69,36,100,84,47,83,81,32,66,6,59,83,98,100,47,6,26,65,17,45,54,59,99,69,58,80,87,61,78,16,14,54,100,24,89,29,40,77,100,22,46,34,5,100,58,38,100,41,31,39,81,12,89,22,100,34,66,33,25,20,92,16,100,33,14,62,49,54,41,33,81,35,14,7,99,72,82,54,93,48,28,54,60,60,82,74,62,76,69,74,100,61,33,28,95,56,13,93,66,32,97,36,82,55,3,5,17,67,22,68,41,24,18,23,97,44,41,9,77,29,59,45,50,38,25,12,60,25,75,63,31,75,46,7,66,61,96,60,15,60,23,60,22,75,89,30,81,70,45,37,30,97,33,35,48,13,85,65,13,33,38,60,42,16,50,35,24,38,33,19,16,69,50,68,27,14,84,30,30,24,37,77,35,96,99,11,12,73,56,74,29,30,84,38,30,1,86,20,82,100,60,100,34,27,26,74,62,86,93,7,77,81,68,64,28,11,36,40,27,23,47,34,46,14,100,95,16,83,55,24,10,46,50,69,85,28,40,34
2004-02-01,100,100,0,29,17,77,41,99,100,50,84,96,29,84,8,62,84,100,88,40,8,32,83,29,49,65,61,95,59,59,79,98,91,81,19,14,52,87,26,93,29,38,77,97,25,43,34,5,87,55,38,91,44,30,31,73,10,99,23,97,36,70,33,25,19,75,13,95,30,34,62,41,57,51,28,93,35,14,8,97,70,81,54,97,43,46,48,56,76,75,71,75,71,72,82,90,60,34,27,97,58,13,100,67,26,100,43,87,69,7,5,20,65,18,67,40,24,15,20,94,46,42,12,76,30,65,43,58,69,27,14,55,22,65,78,25,52,60,8,73,62,100,66,19,60,23,55,21,74,100,37,77,76,27,42,30,82,26,49,52,11,70,72,11,37,36,65,49,17,45,31,25,38,35,24,17,70,51,75,27,15,84,32,32,20,42,100,31,95,89,10,12,72,48,79,28,26,100,46,29,4,85,19,100,81,54,88,40,35,31,67,54,84,94,7,83,73,70,59,31,10,38,42,27,22,42,100,55,15,93,100,15,79,50,19,13,46,59,71,94,26,41,31
2004-03-01,98,58,0,34,17,81,46,98,89,58,93,100,28,75,9,58,93,97,90,40,9,32,74,24,50,100,80,86,64,63,81,100,37,86,21,14,56,71,27,100,32,41,78,91,36,41,49,5,83,54,40,80,38,34,35,89,10,100,23,94,36,66,30,28,17,81,14,97,31,100,53,56,59,55,28,87,33,23,9,91,79,84,53,93,42,39,50,57,81,68,69,70,86,78,79,88,63,40,24,94,59,13,88,71,25,68,49,93,72,7,4,20,71,20,67,42,24,13,24,100,46,42,13,79,30,52,48,57,46,26,27,61,31,82,65,29,62,56,8,66,71,95,62,19,57,25,48,23,80,96,32,69,76,36,48,35,95,28,40,47,13,78,68,12,37,35,73,45,16,43,36,42,39,39,23,18,76,46,77,28,15,94,30,41,21,46,75,37,94,90,9,13,73,47,74,27,26,85,42,30,3,100,19,76,86,73,77,28,29,32,77,51,79,93,8,100,84,77,56,26,10,47,38,21,24,49,48,46,15,98,95,16,80,56,17,10,49,100,70,84,31,50,34
2004-04-01,95,100,0,36,17,92,53,97,100,63,81,99,28,83,8,59,81,95,88,21,10,30,64,24,53,73,81,87,60,57,72,98,58,90,19,15,59,51,25,91,33,40,71,85,28,36,52,5,74,50,37,73,31,29,40,87,12,91,23,90,35,74,28,24,20,85,13,95,29,23,55,57,61,51,27,80,31,18,10,89,100,87,58,95,35,51,51,53,72,80,67,74,92,71,78,82,60,30,23,100,57,12,77,70,25,66,42,91,76,4,5,20,76,19,65,38,25,14,46,92,49,44,11,76,30,49,44,53,31,30,19,56,29,75,72,29,67,54,10,77,85,87,68,17,62,24,46,21,86,92,36,80,67,41,44,45,92,32,37,43,12,76,95,13,37,33,66,45,17,43,34,28,38,36,22,20,80,41,81,31,13,85,31,77,22,71,95,35,88,86,10,12,69,53,74,35,34,78,53,30,2,84,21,71,74,59,67,44,28,37,80,45,81,82,9,83,72,75,56,26,11,46,39,23,27,50,49,49,17,86,96,15,80,73,20,12,41,96,67,86,31,42,31
2004-05-01,85,81,0,30,17,76,36,92,99,54,86,96,25,37,8,57,86,96,84,21,8,34,60,24,52,50,60,88,59,64,68,87,75,99,22,13,55,47,26,88,36,35,77,87,31,38,29,5,69,63,38,69,36,36,27,88,13,88,23,93,32,77,27,26,18,83,9,92,32,32,53,56,60,54,33,83,31,16,12,97,80,91,69,79,35,48,55,54,81,80,74,82,100,73,80,87,62,35,20,89,58,12,76,84,28,49,44,95,71,3,5,23,75,21,63,41,25,15,100,88,47,45,11,74,29,51,48,55,29,27,17,57,20,79,89,35,51,45,8,67,73,96,68,16,64,23,43,19,100,86,28,72,73,42,53,61,97,33,37,49,13,70,91,11,34,35,70,51,17,45,34,25,39,39,25,21,85,43,83,34,14,87,31,42,23,36,90,40,88,84,9,13,62,52,75,29,35,73,46,30,3,87,16,83,73,70,59,38,31,41,77,48,85,93,9,80,70,79,57,23,11,47,38,22,28,51,62,46,18,92,87,16,77,45,32,12,52,97,66,77,28,43,29
2004-06-01,44,52,0,13,16,51,44,89,50,33,85,70,23,37,7,57,85,87,83,27,6,24,39,19,41,27,62,90,68,60,75,72,87,61,18,10,53,52,22,81,35,36,76,83,24,31,31,5,66,59,35,68,29,28,21,85,10,77,23,89,30,100,27,23,17,71,13,96,37,10,48,59,54,45,27,74,30,20,16,83,80,96,59,91,38,38,55,40,73,75,83,57,82,54,82,82,66,32,29,92,54,13,69,78,31,61,38,83,61,2,5,19,66,20,61,39,23,14,32,88,41,42,8,68,28,44,44,49,27,25,15,53,22,64,100,33,40,35,8,73,71,97,51,13,55,23,47,17,88,96,26,73,64,36,44,33,85,40,29,47,12,74,57,12,37,33,67,41,16,44,30,25,41,37,17,22,89,42,74,55,13,82,28,29,24,36,74,47,89,85,9,13,66,60,76,29,34,66,32,27,3,79,16,79,61,41,73,47,28,39,76,37,92,100,7,76,46,75,56,21,10,41,39,24,26,29,49,43,16,90,78,20,78,43,22,10,50,69,67,87,23,38,25
2004-07-01,32,54,0,9,17,44,41,85,35,22,100,58,24,35,7,56,100,79,78,25,8,14,46,13,33,33,65,95,62,59,73,72,79,50,18,10,62,58,21,76,35,37,70,90,18,31,33,6,69,60,33,65,29,28,39,87,10,89,21,99,33,98,21,21,16,70,13,94,26,10,69,50,53,45,30,56,31,8,15,76,95,90,53,66,22,35,49,38,68,90,61,66,79,52,81,76,97,28,25,95,51,13,60,86,26,51,40,84,54,2,6,18,66,18,62,41,23,13,26,87,42,39,9,65,27,44,37,47,35,24,14,56,17,61,81,29,64,31,7,62,73,93,55,14,53,25,55,18,96,87,21,83,60,38,49,36,76,40,32,53,15,69,28,11,33,32,61,39,17,47,35,26,43,34,17,20,99,47,72,39,12,86,24,22,20,52,73,32,91,84,10,13,67,44,78,29,35,67,30,27,4,79,20,83,65,63,65,44,29,55,56,40,77,93,8,78,54,68,61,22,10,48,35,27,27,28,46,43,17,82,75,18,80,59,26,9,44,61,68,82,20,33,22
2004-08-01,29,63,0,7,18,44,39,88,31,22,83,65,25,36,7,53,83,84,94,32,8,13,43,16,36,30,57,100,66,58,81,76,24,55,16,9,53,66,24,86,38,38,81,84,23,32,32,6,67,74,37,77,26,30,27,88,11,79,22,89,34,84,25,19,20,94,11,92,35,19,61,61,57,52,22,57,32,15,13,90,83,88,56,77,32,45,43,41,70,78,62,98,76,53,84,84,54,31,23,97,49,13,69,100,26,55,39,92,51,2,5,20,71,17,63,42,24,14,24,86,43,38,6,70,27,44,45,43,56,26,11,55,24,61,73,29,55,28,6,83,100,84,68,13,54,24,55,19,86,91,39,84,64,36,42,39,80,41,30,37,14,71,90,13,33,37,59,39,17,46,35,28,38,34,25,36,90,51,72,28,13,85,28,23,26,38,91,30,90,84,9,16,67,37,81,29,30,69,28,30,4,72,19,78,64,49,67,78,29,51,65,48,76,82,6,84,67,68,61,23,9,52,36,28,26,56,52,39,16,74,74,16,88,46,46,10,47,66,68,80,27,35,24
2004-09-01,52,52,0,25,16,63,46,91,50,32,75,83,24,35,7,57,75,92,95,8,7,29,61,20,40,56,63,91,64,60,74,86,100,75,20,10,56,67,21,91,36,41,76,88,24,44,32,5,80,54,35,68,37,38,24,88,11,74,21,94,61,73,28,18,21,74,12,90,41,18,60,59,57,50,22,67,30,63,9,100,79,86,52,81,42,47,45,51,71,68,64,66,95,54,77,87,55,30,28,94,50,12,82,74,100,98,43,82,51,4,6,22,65,17,63,39,24,14,40,84,43,37,8,100,27,42,50,45,51,27,15,52,19,63,68,27,72,37,7,78,67,89,64,16,59,25,55,19,79,92,25,80,74,36,48,37,82,30,31,42,12,67,59,13,33,31,70,43,18,40,34,24,38,39,23,22,89,48,77,25,14,78,39,32,22,43,67,32,84,94,9,12,56,47,77,31,27,68,34,28,3,76,17,69,70,57,77,21,27,56,56,71,74,81,7,75,62,69,60,29,10,34,43,23,25,43,47,42,15,80,89,16,79,45,73,8,42,66,65,76,27,38,28
2004-10-01,78,47,0,37,17,97,63,89,63,44,71,90,25,41,10,59,71,87,93,30,8,31,77,21,43,73,70,84,68,58,71,90,68,87,19,12,60,76,25,83,34,36,71,80,30,25,32,5,72,72,33,64,36,33,43,85,10,86,22,86,32,68,30,21,18,84,12,86,25,13,64,55,57,50,17,72,32,18,7,85,64,78,51,68,30,43,53,57,80,69,61,58,79,64,75,83,52,36,25,91,50,13,73,58,24,48,41,82,57,3,5,23,66,17,62,37,23,14,35,77,43,34,9,63,27,43,47,47,40,25,15,53,23,71,64,30,57,38,7,84,65,94,61,16,53,23,47,17,70,89,28,68,68,25,50,30,82,28,32,41,17,74,67,10,32,32,70,41,17,40,37,23,38,34,20,23,84,43,78,23,14,82,28,33,22,32,63,33,81,80,10,13,55,49,72,24,23,74,39,28,4,70,17,89,49,58,48,30,28,55,74,46,75,75,7,74,66,64,59,24,10,37,48,20,29,41,47,43,15,80,89,20,78,48,65,10,49,67,63,76,21,35,26
