date,death penalty,drug policy,incarcer,gun control,shooting,abortion,pro life,arts,civil rights,racism,economy,stock,taxes,recession,debt,budget,education,college,student debt,air quality,global warming,carbon dioxide,climate change,greenhouse,campaign finance reform,privatization,health insurance,medicaid,medicare,social security,welfare,defense spending,war,afghanistan,albania,algeria,america,andorra,angola,antigua,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bissau,bolivia,bosnia,botswana,brazil,british,brunei,bulgaria,burkina,burma,burundi,cambodia,cameroon,canada,cape verde,central african republic,chad,chile,china,colombia,comoros,congo,costa rica,country debt,croatia,cuba
2004-01-01,79,55,0,24,17,69,36,100,81,47,83,32,68,7,58,82,99,100,28,6,26,64,18,45,65,45,100,62,60,82,89,61,81,28,20,14,53,100,23,89,29,43,79,100,30,48,36,5,100,60,38,100,40,32,41,80,11,87,22,99,34,66,31,24,22,86,16,100,32,19,60,50,54,41,33,81,35,14,7,100
2004-02-01,95,84,0,30,17,78,49,96,96,53,94,30,86,6,60,85,99,89,63,9,31,87,31,52,64,56,96,67,57,80,100,100,81,28,19,13,51,88,27,94,30,40,78,93,31,41,35,5,94,57,38,89,39,35,28,72,12,98,23,96,41,67,31,25,19,74,15,94,32,39,61,42,57,51,28,93,35,14,8,97
2004-03-01,94,65,0,32,17,79,46,95,87,61,100,29,75,9,56,97,100,94,14,7,33,84,23,49,100,100,85,63,64,82,97,49,85,31,20,15,56,72,26,100,33,37,78,85,30,40,46,5,92,55,38,81,37,32,30,89,10,81,24,95,32,69,29,22,16,78,14,96,26,100,52,57,59,55,28,87,32,23,8,92
2004-04-01,96,72,0,33,17,92,49,94,98,63,98,29,86,9,57,81,98,91,28,10,29,70,23,54,62,71,88,61,54,76,96,84,91,30,23,16,59,56,24,94,34,41,71,83,25,35,49,5,81,54,38,75,29,32,39,87,12,100,24,90,33,74,28,23,23,87,15,92,35,20,53,57,61,51,27,81,31,18,10,92
2004-05-01,83,71,0,25,17,77,37,88,100,55,98,25,38,7,54,85,95,87,37,8,35,62,25,52,53,61,86,58,68,70,86,61,98,29,21,14,54,48,26,89,36,35,80,84,33,37,31,5,74,65,37,74,34,35,32,89,13,73,24,91,30,79,27,24,20,82,14,90,26,21,53,57,59,54,33,83,31,16,12,97
2004-06-01,40,59,0,14,15,51,35,87,49,33,71,24,38,8,53,87,92,85,35,7,25,46,17,42,24,53,93,65,61,77,74,99,62,23,20,9,53,57,24,83,34,36,77,86,25,31,31,5,66,58,37,61,28,32,23,88,10,71,22,89,29,100,26,19,16,67,14,95,47,14,47,59,54,45,27,74,30,20,15,80
2004-07-01,31,61,0,11,17,45,42,83,33,21,60,24,35,6,55,100,79,83,24,9,15,43,14,34,35,61,95,61,61,74,73,63,50,22,20,9,63,58,21,79,34,36,74,89,21,31,35,6,81,57,34,62,30,26,35,85,11,85,21,100,34,100,25,19,16,69,12,93,22,19,68,51,52,44,30,56,31,8,15,77
2004-08-01,28,73,100,10,18,45,42,86,34,24,64,25,36,7,52,85,82,98,30,8,13,40,16,36,33,53,96,75,57,83,76,70,55,24,16,9,53,71,22,91,37,37,82,83,24,32,32,6,68,74,35,74,27,36,27,91,10,79,22,87,36,83,24,19,17,100,12,91,44,21,64,58,57,52,22,58,32,15,13,90
2004-09-01,51,54,0,24,16,64,45,87,49,34,86,24,36,7,55,78,91,95,22,7,29,70,18,41,43,56,90,57,63,74,88,69,75,24,21,11,55,70,23,91,35,41,74,84,27,43,31,5,88,54,36,64,34,36,26,87,11,73,22,87,59,71,27,18,19,68,12,89,51,16,58,57,57,50,22,67,30,63,9,100
2004-10-01,75,67,0,39,16,96,65,85,61,48,97,25,41,9,57,72,89,95,21,7,31,84,19,44,61,62,86,75,59,73,89,60,86,33,19,11,60,81,25,84,34,36,73,78,32,26,31,5,77,74,34,59,34,30,31,85,11,94,22,85,31,66,27,20,20,82,12,84,24,18,68,59,57,50,17,72,31,18,7,87
