date,myanmar,namibia,nauru,nepal,netherlands,new zealand,nicaragua,niger,nigeria,norway,oman,pakistan,palau,panama,papua,paraguay,peru,philippines,poland,portugal,qatar,romania,russia,rwanda,samoa,san marino,sao tome,saudi arabia,scotland,scottish,senegal,serbia,seychelles,sierra leone,singapore,slovakia,slovenia,solomon,somalia,south africa,south sudan,spain,sri lanka,st. kitts,st. lucia,st kitts,st lucia,saint kitts,santa lucia,sudan,suriname,swaziland,sweden,switzerland,syria,taiwan,tajikistan,tanzania,thailand,tobago,togo,tonga,trinidad,tunisia,turkey,turkmenistan,tuvalu,uganda,ukraine,united kingdom,united states,uruguay,usa,uzbekistan,vanuatu,vatican,venezuela,vietnam,wales,welsh,yemen,zambia,zimbabwe
2004-01-01,13,86,84,13,33,38,58,41,16,45,36,24,39,34,21,17,71,51,71,29,14,85,31,28,22,35,84,35,98,100,10,13,74,55,74,31,28,83,36,30,2,84,20,100,100,64,100,58,28,30,68,78,91,91,7,74,86,69,66,28,11,41,40,27,23,47,34,48,14,100,95,17,84,55,24,10,47,48,70,85,30,40,34
2004-02-01,12,77,60,12,36,37,65,52,17,41,33,24,43,36,25,19,71,51,76,29,14,86,31,35,23,36,89,32,94,98,10,11,74,60,79,26,26,100,41,30,5,85,20,92,78,85,84,57,34,33,71,59,86,92,7,90,76,76,59,29,12,40,42,27,22,41,100,55,15,93,100,15,80,46,19,13,47,56,71,94,25,41,31
2004-03-01,12,76,57,13,36,34,71,45,16,43,39,42,41,38,23,20,77,46,79,32,16,95,31,38,24,49,68,38,95,85,10,14,77,62,73,32,27,83,50,30,4,100,19,64,98,61,70,31,30,35,81,55,80,93,8,100,75,75,56,25,11,39,38,21,24,49,47,47,15,95,99,17,80,62,17,10,49,100,71,84,31,50,34
2004-04-01,12,71,100,12,36,33,64,48,17,43,37,28,43,37,22,21,82,40,79,32,13,86,32,72,21,60,100,36,92,89,10,13,65,55,74,37,30,83,46,30,1,86,21,70,73,50,66,37,33,40,58,42,84,84,9,85,65,75,57,24,12,42,39,23,27,50,49,48,17,78,98,15,80,72,20,12,42,88,67,86,29,43,31
2004-05-01,12,71,79,11,33,35,68,50,17,43,36,24,42,40,24,22,87,43,84,37,14,87,32,43,25,38,81,41,93,83,9,14,61,46,73,30,36,73,56,30,4,89,16,75,71,43,62,26,29,41,64,40,90,92,8,85,81,82,56,24,11,47,38,22,27,51,62,47,18,92,89,16,77,41,32,12,52,91,66,77,26,43,28
2004-06-01,12,75,51,11,37,33,65,41,16,43,32,24,41,38,18,22,92,42,76,58,14,79,28,27,23,38,74,48,95,82,9,13,68,66,76,30,34,68,34,27,4,83,16,65,68,43,67,52,30,41,77,36,93,96,7,78,49,68,57,21,10,44,39,24,26,29,48,45,16,91,82,19,78,44,22,10,51,65,68,87,26,38,25
2004-07-01,14,70,30,11,33,33,62,35,17,46,35,26,45,34,18,20,99,47,71,41,12,86,24,21,21,52,91,34,92,85,10,13,68,48,79,27,35,68,31,27,4,78,19,88,70,98,63,38,29,58,63,42,77,85,7,81,55,66,60,23,11,39,35,27,27,27,46,44,17,80,78,18,80,55,26,9,44,57,69,82,19,33,22
2004-08-01,14,77,85,13,31,37,59,39,18,48,35,28,40,35,26,35,93,51,73,30,13,85,28,19,27,39,90,30,93,84,9,16,69,40,81,26,33,68,25,30,3,75,20,71,64,46,70,92,27,56,63,43,78,82,6,85,68,70,62,26,8,49,36,28,26,56,52,39,16,74,77,17,89,51,46,10,49,62,69,80,27,36,24
2004-09-01,12,64,59,13,31,32,71,45,18,37,34,25,40,39,21,21,90,47,75,27,15,80,39,28,22,38,65,31,83,88,9,13,61,45,77,27,26,69,35,29,3,77,18,54,75,53,75,47,27,60,59,79,76,77,7,80,60,69,60,31,11,37,43,23,25,43,47,41,15,77,92,18,80,49,73,8,42,62,66,76,28,38,28
2004-10-01,16,72,53,10,32,32,69,43,17,39,39,23,38,34,18,22,86,43,76,25,14,81,28,32,22,35,81,35,81,78,9,12,54,48,71,26,25,75,41,28,3,68,18,53,60,40,57,52,32,57,67,49,76,76,7,79,61,67,60,25,11,36,47,20,29,41,47,42,15,79,91,20,77,51,65,10,50,64,64,76,22,35,26
