date,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district of columbia,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina,north dakota,ohio,oklahoma,oregon,pennsylvania,rhode island,south carolina,south dakota,tennessee,texas,utah,vermont,virginia,washington,west virginia,wisconsin,wyoming
2004-01-01,78,100,100,91,100,96,58,89,82,94,97,100,88,97,54,75,95,76,52,76,95,96,97,90,63,92,38,100,72,100,88,100,96,94,92,89,74,89,93,87,100,78,90,94,97,100,71,100,93,90,89
2004-02-01,78,95,94,88,100,93,56,91,78,93,96,100,87,100,54,52,96,75,50,78,95,99,95,91,70,97,37,90,75,61,87,100,96,93,98,89,72,89,97,86,100,87,94,92,98,99,73,99,82,94,89
2004-03-01,79,93,95,85,99,91,58,94,100,89,95,96,83,100,52,50,94,82,50,80,97,99,91,95,64,94,36,86,75,61,93,95,96,91,96,89,72,88,96,88,97,90,94,95,93,84,70,94,90,93,79
2004-04-01,80,94,94,100,100,96,57,90,71,85,99,93,86,98,57,52,99,97,50,80,98,100,91,99,64,100,37,92,69,62,92,98,100,94,100,90,78,90,100,91,93,93,95,97,94,79,75,98,90,93,90
2004-05-01,74,94,84,89,93,89,56,91,71,79,90,88,90,88,54,50,91,88,48,82,95,93,90,92,60,91,35,89,65,61,89,95,95,88,89,87,70,92,88,92,92,88,89,91,90,82,70,98,81,88,86
2004-06-01,79,99,87,94,94,95,58,95,79,82,92,84,92,96,56,50,93,73,45,91,98,98,94,94,63,91,35,81,81,66,97,96,95,91,83,91,70,92,90,94,93,100,89,98,92,84,72,92,83,92,86
2004-07-01,79,99,90,91,97,100,56,100,78,88,95,83,96,97,56,53,94,74,46,100,100,94,100,98,58,97,36,89,72,74,100,98,97,100,89,95,73,100,97,100,95,96,95,95,98,90,74,95,88,100,100
2004-08-01,80,95,92,96,100,99,56,94,85,99,97,82,96,96,58,56,95,74,48,96,99,97,100,100,61,99,36,98,68,71,100,97,95,96,89,95,73,100,95,96,97,92,95,99,97,99,72,96,88,96,87
2004-09-01,97,85,88,93,93,93,54,93,81,100,96,83,86,92,53,54,91,70,51,82,93,90,95,92,66,93,34,90,65,64,84,94,94,86,88,92,71,88,94,92,89,88,100,95,94,87,69,92,90,90,81
2004-10-01,77,86,89,87,87,89,52,88,91,78,91,80,77,91,52,56,91,71,47,70,89,84,91,89,58,93,33,90,67,60,80,93,96,87,92,95,72,83,95,79,86,82,95,92,89,84,68,90,85,85,77
2004-11-01,73,86,81,80,84,84,48,81,87,73,85,77,74,86,51,53,85,66,43,66,81,80,87,83,58,82,33,81,66,55,76,91,95,79,87,98,67,79,82,77,83,83,83,86,89,80,61,86,77,82,82
2004-12-01,68,84,80,79,80,82,47,77,70,72,76,76,76,81,48,45,83,67,41,66,80,75,81,79,52,79,35,76,66,51,75,83,89,72,77,85,63,81,78,69,74,68,76,81,86,87,59,84,73,78,77
2005-01-01,75,95,91,89,92,88,50,85,69,86,87,90,85,90,51,51,90,69,45,72,88,82,84,88,61,87,36,83,71,53,79,90,93,83,79,87,70,84,84,76,85,79,81,91,97,85,65,90,83,82,85
2005-02-01,76,94,91,89,89,88,49,85,75,88,92,84,88,93,55,53,93,72,48,75,89,81,88,86,60,90,35,89,71,53,80,93,91,88,88,88,67,83,83,76,92,79,89,91,92,92,66,91,77,99,80
2005-03-01,76,94,93,89,88,87,49,89,73,90,91,79,87,93,55,53,92,78,46,72,89,81,89,89,60,95,37,86,69,55,80,93,90,91,89,87,72,85,83,78,93,88,91,90,95,78,65,89,87,89,84
2005-04-01,77,90,88,95,86,86,49,92,63,83,95,81,85,96,54,51,94,80,48,74,89,80,87,86,62,91,33,85,62,50,82,91,87,87,85,91,74,84,84,83,91,82,85,90,92,72,67,85,78,87,79
2005-05-01,77,92,83,93,87,88,50,90,58,81,88,81,95,86,53,50,91,100,48,81,88,83,87,83,61,91,35,85,63,54,80,88,87,86,79,88,68,88,79,82,88,88,86,91,91,78,65,85,77,81,83
2005-06-01,79,89,82,89,91,90,48,92,61,80,84,73,94,87,55,48,92,70,44,82,88,82,90,83,58,88,34,84,60,59,87,92,87,86,83,89,67,91,78,85,87,84,86,88,94,77,65,86,71,85,86
2005-07-01,80,92,84,90,86,93,49,95,66,82,89,77,100,91,56,53,92,70,44,93,90,80,94,88,59,91,36,84,63,64,87,86,87,86,87,94,69,93,81,85,88,88,87,92,94,78,66,85,78,91,92
2005-08-01,85,94,85,92,87,97,50,95,60,81,93,80,100,94,56,55,100,74,65,90,91,79,97,90,86,93,36,94,62,60,86,94,87,88,82,100,74,95,82,86,90,88,92,94,98,81,66,88,82,90,93
2005-09-01,82,78,80,92,77,86,45,89,56,71,88,70,87,86,53,52,92,66,100,73,83,76,88,81,100,86,34,82,58,53,75,85,85,77,75,92,69,83,76,74,82,73,90,100,89,78,61,83,81,80,75
2005-10-01,77,79,82,85,75,86,45,84,63,75,89,72,84,82,51,50,91,65,49,70,80,71,86,83,59,88,33,84,58,55,76,82,85,76,84,90,68,84,77,72,80,74,88,86,85,79,60,79,77,79,76
2005-11-01,70,76,76,80,73,78,40,75,59,66,84,66,76,77,48,48,87,64,42,62,72,66,77,71,52,76,32,82,60,42,69,73,83,69,76,84,63,75,69,63,74,70,78,83,83,71,58,77,70,69,74
2005-12-01,64,78,74,76,70,80,38,73,52,67,79,66,75,74,45,47,85,56,39,63,70,62,74,71,48,76,32,80,59,43,66,76,83,67,75,78,61,78,65,59,66,66,71,80,84,76,53,74,70,70,71
2006-01-01,73,94,81,86,74,84,41,78,55,80,88,78,83,81,52,50,86,67,42,71,76,65,78,74,53,85,35,80,66,46,70,84,80,77,76,86,71,82,69,66,79,72,82,91,96,77,59,78,100,78,79
2006-02-01,71,83,80,86,74,81,41,79,55,74,85,74,80,82,52,51,84,69,44,66,75,65,76,74,55,88,35,84,62,44,67,81,76,75,79,86,69,77,69,66,81,81,81,83,89,75,57,80,74,74,82
2006-03-01,72,81,80,83,73,81,40,81,59,76,84,78,81,83,52,48,88,68,43,68,75,66,79,74,53,87,36,82,62,43,69,83,76,75,81,84,69,78,67,66,82,89,84,85,93,65,56,76,70,73,79
2006-04-01,74,81,80,88,77,82,39,84,60,77,85,75,82,81,51,51,90,71,43,68,78,67,75,76,55,86,37,80,59,41,71,78,77,74,83,87,68,79,69,70,77,78,84,84,89,64,57,76,67,73,75
2006-05-01,69,79,73,85,72,81,39,81,50,69,79,69,85,75,48,47,82,91,41,72,74,64,77,72,52,80,36,74,55,45,70,78,73,71,71,83,65,79,65,68,75,79,79,81,88,66,56,73,64,73,75
2006-06-01,71,82,72,86,74,85,41,88,51,70,81,68,86,75,50,48,88,63,40,80,78,63,83,74,50,80,38,71,56,46,74,81,74,76,72,87,66,83,66,70,78,79,77,84,91,67,56,73,65,76,79
2006-07-01,74,85,74,86,75,91,40,89,52,71,86,71,93,80,53,48,91,64,39,84,80,63,86,77,51,86,44,75,56,53,78,79,75,78,71,90,67,86,65,72,79,82,82,86,93,70,57,74,69,82,85
2006-08-01,76,86,80,91,73,89,43,90,53,72,84,68,92,82,55,53,94,69,42,87,80,62,88,81,52,86,43,81,57,48,71,80,77,76,71,92,69,86,66,73,80,79,86,87,93,74,60,76,75,80,83
2006-09-01,71,72,73,85,65,81,37,77,42,65,82,64,79,74,48,50,85,63,39,70,73,58,80,74,51,80,39,84,51,43,61,74,75,67,70,88,68,77,62,68,73,70,82,85,84,67,54,71,73,72,74
2006-10-01,73,68,74,85,64,81,37,75,45,66,79,72,78,74,48,50,86,57,38,63,70,57,79,69,49,82,43,79,54,41,62,74,76,66,74,87,63,72,65,61,71,71,80,83,83,71,52,70,67,71,71
2006-11-01,68,67,70,80,62,75,34,71,37,62,72,63,75,70,43,45,81,56,35,58,66,54,82,66,45,81,51,74,58,34,56,70,72,61,65,90,59,72,57,56,67,70,72,75,79,59,50,66,66,64,69
2006-12-01,63,67,66,70,55,76,30,64,37,61,65,60,72,63,39,41,79,52,33,56,59,47,65,59,40,67,45,74,100,33,55,70,67,56,59,76,57,71,51,48,58,61,65,71,76,61,43,62,62,60,70
2007-01-01,71,75,73,81,63,79,32,73,47,74,73,70,80,69,46,45,84,59,38,63,66,52,73,63,47,78,49,69,69,37,58,78,71,64,68,83,66,70,55,55,69,62,72,79,85,62,49,68,64,64,76
2007-02-01,67,71,73,80,62,76,32,76,45,74,72,67,78,71,47,46,80,58,36,63,66,50,70,63,48,75,45,69,60,36,56,72,69,62,68,82,62,70,55,55,69,63,71,77,87,67,50,69,62,65,75
2007-03-01,67,75,68,77,62,72,32,72,47,69,73,63,74,69,46,46,83,61,37,61,66,51,69,65,48,73,45,67,58,34,56,70,65,65,67,80,61,69,52,56,70,67,72,78,81,54,48,65,59,64,71
