policy_type,policy
Criminal Justice,death penalty
Criminal Justice,drug policy
Criminal Justice,incarcer
Criminal Justice,gun control
Criminal Justice,shooting
Culture and Society,abortion
Culture and Society,pro life
Culture and Society,arts
Culture and Society,civil rights
Culture and Society,racism
Economic Affairs,economy
Economic Affairs,stock
Economic Affairs,taxes
Economic Affairs,recession
Economic Affairs,debt
Economic Affairs,budget
Education,education
Education,college
Education,student debt
Environment,air quality
Environment,global warming
Environment,carbon dioxide
Environment,climate change
Environment,greenhouse
Government Operations,campaign finance reform
Government Operations,privatization
Health,health insurance
Health,medicaid
Health,Medicare
Social Welfare,social security
Social Welfare,welfare
Foreign Affairs and National Security,defense spending
Foreign Affairs and National Security,war
