Date,date_time,year,month,month_year,term_year_bush,Approving,Disapproving,Unsure
01/09/2009,2009-01-09,2009,1,2009-01,8,34,61,5
12/12/2008,2008-12-12,2008,12,2008-12,7,29,67,4
12/04/2008,2008-12-04,2008,12,2008-12,7,32,61,7
11/13/2008,2008-11-13,2008,11,2008-11,7,29,66,4
11/07/2008,2008-11-07,2008,11,2008-11,7,28,68,5
10/31/2008,2008-10-31,2008,10,2008-10,7,25,70,5
10/23/2008,2008-10-23,2008,10,2008-10,7,31,66,3
10/10/2008,2008-10-10,2008,10,2008-10,7,25,71,4
10/03/2008,2008-10-03,2008,10,2008-10,7,25,70,6
09/26/2008,2008-09-26,2008,9,2008-09,7,27,69,4
09/05/2008,2008-09-05,2008,9,2008-09,7,33,64,3
08/21/2008,2008-08-21,2008,8,2008-08,7,29,66,5
08/07/2008,2008-08-07,2008,8,2008-08,7,33,61,6
07/25/2008,2008-07-25,2008,7,2008-07,7,32,65,3
07/10/2008,2008-07-10,2008,7,2008-07,7,31,61,8
06/15/2008,2008-06-15,2008,6,2008-06,7,28,68,4
06/09/2008,2008-06-09,2008,6,2008-06,7,30,64,6
05/30/2008,2008-05-30,2008,5,2008-05,7,28,68,4
05/01/2008,2008-05-01,2008,5,2008-05,7,28,67,5
04/18/2008,2008-04-18,2008,4,2008-04,7,28,69,4
04/06/2008,2008-04-06,2008,4,2008-04,7,28,67,5
03/14/2008,2008-03-14,2008,3,2008-03,7,32,64,4
03/06/2008,2008-03-06,2008,3,2008-03,7,32,64,4
02/21/2008,2008-02-21,2008,2,2008-02,7,32,62,5
02/11/2008,2008-02-11,2008,2,2008-02,7,31,65,4
02/08/2008,2008-02-08,2008,2,2008-02,7,33,61,5
01/30/2008,2008-01-30,2008,1,2008-01,7,34,61,5
01/10/2008,2008-01-10,2008,1,2008-01,7,34,60,6
01/04/2008,2008-01-04,2008,1,2008-01,7,32,64,4
12/14/2007,2007-12-14,2007,12,2007-12,6,32,65,3
12/06/2007,2007-12-06,2007,12,2007-12,6,37,57,5
11/30/2007,2007-11-30,2007,11,2007-11,6,34,62,4
11/11/2007,2007-11-11,2007,11,2007-11,6,32,61,7
11/02/2007,2007-11-02,2007,11,2007-11,6,31,64,5
10/12/2007,2007-10-12,2007,10,2007-10,6,32,64,3
10/04/2007,2007-10-04,2007,10,2007-10,6,32,64,4
09/14/2007,2007-09-14,2007,9,2007-09,6,36,62,2
09/07/2007,2007-09-07,2007,9,2007-09,6,33,62,5
08/13/2007,2007-08-13,2007,8,2007-08,6,32,63,5
08/03/2007,2007-08-03,2007,8,2007-08,6,34,62,4
07/12/2007,2007-07-12,2007,7,2007-07,6,31,63,6
07/06/2007,2007-07-06,2007,7,2007-07,6,29,66,5
06/11/2007,2007-06-11,2007,6,2007-06,6,32,65,3
06/01/2007,2007-06-01,2007,6,2007-06,6,32,62,6
05/10/2007,2007-05-10,2007,5,2007-05,6,33,62,5
05/04/2007,2007-05-04,2007,5,2007-05,6,34,63,3
04/13/2007,2007-04-13,2007,4,2007-04,6,36,60,4
04/02/2007,2007-04-02,2007,4,2007-04,6,38,58,4
03/23/2007,2007-03-23,2007,3,2007-03,6,34,62,4
