Date,date_time,year,month,month_year,term_year_bush,SP 500
1927-12-01,1927-12-01,1927,12,1927-12,-74,17.66
1928-01-01,1928-01-01,1928,1,1928-01,-73,17.57
1928-02-01,1928-02-01,1928,2,1928-02,-73,17.26
1928-03-01,1928-03-01,1928,3,1928-03,-73,19.280001000000002
1928-04-01,1928-04-01,1928,4,1928-04,-73,19.75
1928-05-01,1928-05-01,1928,5,1928-05,-73,20.0
1928-06-01,1928-06-01,1928,6,1928-06,-73,19.139999
1928-07-01,1928-07-01,1928,7,1928-07,-73,19.43
1928-08-01,1928-08-01,1928,8,1928-08,-73,20.870001000000002
1928-09-01,1928-09-01,1928,9,1928-09,-73,21.139999
1928-10-01,1928-10-01,1928,10,1928-10,-73,21.68
1928-11-01,1928-11-01,1928,11,1928-11,-73,24.280001000000002
1928-12-01,1928-12-01,1928,12,1928-12,-73,24.35
1929-01-01,1929-01-01,1929,1,1929-01,-72,25.74
1929-02-01,1929-02-01,1929,2,1929-02,-72,25.59
1929-03-01,1929-03-01,1929,3,1929-03,-72,25.530001000000002
1929-04-01,1929-04-01,1929,4,1929-04,-72,25.940001000000002
1929-05-01,1929-05-01,1929,5,1929-05,-72,24.83
1929-06-01,1929-06-01,1929,6,1929-06,-72,27.41
1929-07-01,1929-07-01,1929,7,1929-07,-72,28.879998999999998
1929-08-01,1929-08-01,1929,8,1929-08,-72,31.709999
1929-09-01,1929-09-01,1929,9,1929-09,-72,30.16
1929-10-01,1929-10-01,1929,10,1929-10,-72,24.15
1929-11-01,1929-11-01,1929,11,1929-11,-72,20.92
1929-12-01,1929-12-01,1929,12,1929-12,-72,21.450001
1930-01-01,1930-01-01,1930,1,1930-01,-71,22.790001
1930-02-01,1930-02-01,1930,2,1930-02,-71,23.280001000000002
1930-03-01,1930-03-01,1930,3,1930-03,-71,24.15
1930-04-01,1930-04-01,1930,4,1930-04,-71,24.9
1930-05-01,1930-05-01,1930,5,1930-05,-71,24.49
1930-06-01,1930-06-01,1930,6,1930-06,-71,20.459999
1930-07-01,1930-07-01,1930,7,1930-07,-71,21.209999
1930-08-01,1930-08-01,1930,8,1930-08,-71,21.370001000000002
1930-09-01,1930-09-01,1930,9,1930-09,-71,18.59
1930-10-01,1930-10-01,1930,10,1930-10,-71,16.940001000000002
1930-11-01,1930-11-01,1930,11,1930-11,-71,16.379998999999998
1930-12-01,1930-12-01,1930,12,1930-12,-71,15.34
1931-01-01,1931-01-01,1931,1,1931-01,-70,16.190001000000002
1931-02-01,1931-02-01,1931,2,1931-02,-70,18.030001000000002
