Date,date_time,year,month,month_year,term_year_bush,death penalty,drug policy,incarcer,gun control,shooting,abortion,pro life,arts,civil rights,racism,economy,stock,taxes,recession,debt,budget,education,college,student debt,air quality,global warming,carbon dioxide,climate change,greenhouse,campaign finance reform,privatization,health insurance,medicaid,medicare,social security,welfare,defense spending,war,afghanistan,albania,algeria,america,andorra,angola,antigua,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bissau,bolivia,bosnia,botswana,brazil,british,brunei,bulgaria,burkina,burma,burundi,cambodia,cameroon,canada,cape verde,central african republic,chad,chile,china,colombia,comoros,congo,costa rica,country debt,croatia,cuba,cyprus,czech,denmark,djibouti,dominica,east timor,ecuador,egypt,el salvador,emirate,england,eritrea,estonia,ethiopia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,great britain,greece,grenada,grenadines,guatemala,guinea,guyana,haiti,herzegovina,honduras,hungary,iceland,in usa,india,indonesia,iran,iraq,ireland,israel,italy,ivory coast,jamaica,japan,jordan,kazakhstan,kenya,kiribati,korea,kosovo,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,liechtenstein,lithuania,luxembourg,macedonia,madagascar,malawi,malaysia,maldives,mali,malta,marshall,mauritania,mauritius,mexico,micronesia,moldova,monaco,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nauru,nepal,netherlands,new zealand,nicaragua,niger,nigeria,norway,oman,pakistan,palau,panama,papua,paraguay,peru,philippines,poland,portugal,qatar,romania,russia,rwanda,samoa,san marino,sao tome,saudi arabia,scotland,scottish,senegal,serbia,seychelles,sierra leone,singapore,slovakia,slovenia,solomon,somalia,south africa,south sudan,spain,sri lanka,st. kitts,st. lucia,st kitts,st lucia,saint kitts,santa lucia,sudan,suriname,swaziland,sweden,switzerland,syria,taiwan,tajikistan,tanzania,thailand,tobago,togo,tonga,trinidad,tunisia,turkey,turkmenistan,tuvalu,uganda,ukraine,united kingdom,united states,uruguay,usa,uzbekistan,vanuatu,vatican,venezuela,vietnam,wales,welsh,yemen,zambia,zimbabwe,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district of columbia,florida,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina,north dakota,ohio,oklahoma,oregon,pennsylvania,rhode island,south carolina,south dakota,tennessee,texas,utah,vermont,virginia,washington,west virginia,wisconsin,wyoming
2004-01-01,2004-01-01,2004,1,2004-01,3,79,55,0,24,17,69,36,100,81,47,83,32,68,7,58,82,99,100,28,6,26,64,18,45,65,45,100,62,60,82,89,61,81,28,20,14,53,100,23,89,29,43,79,100,30,48,36,5,100,60,38,100,40,32,41,80,11,87,22,99,34,66,31,24,22,86,16,100,32,19,60,50,54,41,33,81,35,14,7,100,71,83,54,96,46,29,54,60,61,83,74,62,77,70,74,100,61,33,28,97,56,13,93,66,32,97,36,83,55,3,5,18,68,22,68,41,24,18,22,96,44,42,9,77,29,59,45,48,33,24,12,60,25,72,62,31,67,46,7,66,61,96,61,14,62,23,57,21,77,93,28,91,72,47,37,28,91,31,35,45,13,86,84,13,33,38,58,41,16,45,36,24,39,34,21,17,71,51,71,29,14,85,31,28,22,35,84,35,98,100,10,13,74,55,74,31,28,83,36,30,2,84,20,100,100,64,100,58,28,30,68,78,91,91,7,74,86,69,66,28,11,41,40,27,23,47,34,48,14,100,95,17,84,55,24,10,47,48,70,85,30,40,34,78,100,100,92,100,97,58,90,83,91,98,88,98,55,75,96,77,52,76,96,96,94,89,63,92,39,100,72,100,88,100,96,95,91,89,74,89,93,88,100,78,89,94,97,100,72,100,96,91,95
2004-02-01,2004-02-01,2004,2,2004-02,3,95,84,0,30,17,78,49,96,96,53,94,30,86,6,60,85,99,89,63,9,31,87,31,52,64,56,96,67,57,80,100,100,81,28,19,13,51,88,27,94,30,40,78,93,31,41,35,5,94,57,38,89,39,35,28,72,12,98,23,96,41,67,31,25,19,74,15,94,32,39,61,42,57,51,28,93,35,14,8,97,70,81,54,88,45,38,48,56,72,75,71,75,71,72,82,90,60,34,27,96,57,13,100,67,26,82,43,87,69,7,5,21,65,18,65,40,24,15,21,94,46,42,12,76,30,65,43,59,47,27,14,55,22,67,81,27,52,60,8,73,61,100,65,20,60,23,56,23,74,100,31,75,75,28,42,28,78,23,47,50,12,77,60,12,36,37,65,52,17,41,33,24,43,36,25,19,71,51,76,29,14,86,31,35,23,36,89,32,94,98,10,11,74,60,79,26,26,100,41,30,5,85,20,92,78,85,84,57,34,33,71,59,86,92,7,90,76,76,59,29,12,40,42,27,22,41,100,55,15,93,100,15,80,46,19,13,47,56,71,94,25,41,31,78,95,94,88,99,93,56,91,78,91,100,87,100,54,52,96,75,50,79,95,99,92,91,70,97,38,95,75,61,86,100,96,94,100,90,72,88,97,86,100,88,94,92,99,95,73,99,83,95,97
2004-03-01,2004-03-01,2004,3,2004-03,3,94,65,0,32,17,79,46,95,87,61,100,29,75,9,56,97,100,94,14,7,33,84,23,49,100,100,85,63,64,82,97,49,85,31,20,15,56,72,26,100,33,37,78,85,30,40,46,5,92,55,38,81,37,32,30,89,10,81,24,95,32,69,29,22,16,78,14,96,26,100,52,57,59,55,28,87,32,23,8,92,73,85,53,90,40,37,50,57,78,68,68,70,86,78,79,87,63,39,26,95,58,13,87,71,25,76,49,93,72,7,4,21,71,20,68,42,24,13,24,100,46,42,13,79,30,52,48,56,37,25,27,61,31,71,69,29,70,55,8,66,71,95,62,18,66,24,51,20,82,96,30,70,76,38,47,34,90,28,41,47,12,76,57,13,36,34,71,45,16,43,39,42,41,38,23,20,77,46,79,32,16,95,31,38,24,49,68,38,95,85,10,14,77,62,73,32,27,83,50,30,4,100,19,64,98,61,70,31,30,35,81,55,80,93,8,100,75,75,56,25,11,39,38,21,24,49,47,47,15,95,99,17,80,62,17,10,49,100,71,84,31,50,34,79,93,94,84,98,92,58,94,100,88,96,83,100,54,50,94,82,49,80,97,99,88,94,64,94,34,93,74,61,92,95,96,91,95,89,71,87,95,89,97,90,93,95,93,86,70,94,86,93,82
2004-04-01,2004-04-01,2004,4,2004-04,3,96,72,0,33,17,92,49,94,98,63,98,29,86,9,57,81,98,91,28,10,29,70,23,54,62,71,88,61,54,76,96,84,91,30,23,16,59,56,24,94,34,41,71,83,25,35,49,5,81,54,38,75,29,32,39,87,12,100,24,90,33,74,28,23,23,87,15,92,35,20,53,57,61,51,27,81,31,18,10,92,100,88,59,90,38,49,51,53,70,80,66,74,92,72,78,82,60,30,22,99,57,12,77,70,25,86,42,91,76,3,5,21,76,19,66,38,25,14,48,91,49,45,11,76,30,50,44,52,32,30,20,56,29,73,68,29,55,54,10,78,85,87,68,16,68,24,47,21,83,93,33,78,69,43,42,45,92,30,40,46,12,71,100,12,36,33,64,48,17,43,37,28,43,37,22,21,82,40,79,32,13,86,32,72,21,60,100,36,92,89,10,13,65,55,74,37,30,83,46,30,1,86,21,70,73,50,66,37,33,40,58,42,84,84,9,85,65,75,57,24,12,42,39,23,27,50,49,48,17,78,98,15,80,72,20,12,42,88,67,86,29,43,31,80,94,94,100,99,97,57,91,71,81,92,87,98,57,52,99,98,50,81,98,100,91,98,64,100,38,97,69,61,92,98,100,95,95,90,78,90,100,92,93,93,95,97,94,79,75,97,91,94,95
2004-05-01,2004-05-01,2004,5,2004-05,3,83,71,0,25,17,77,37,88,100,55,98,25,38,7,54,85,95,87,37,8,35,62,25,52,53,61,86,58,68,70,86,61,98,29,21,14,54,48,26,89,36,35,80,84,33,37,31,5,74,65,37,74,34,35,32,89,13,73,24,91,30,79,27,24,20,82,14,90,26,21,53,57,59,54,33,83,31,16,12,97,85,92,69,81,34,48,55,54,79,80,74,82,100,73,81,87,62,35,22,90,57,12,76,83,28,57,44,95,71,3,5,23,76,21,63,41,25,15,100,89,47,45,11,74,29,51,48,56,27,26,17,57,20,75,84,32,56,45,8,68,72,95,68,15,66,23,43,21,100,89,28,73,72,44,51,62,97,36,38,50,12,71,79,11,33,35,68,50,17,43,36,24,42,40,24,22,87,43,84,37,14,87,32,43,25,38,81,41,93,83,9,14,61,46,73,30,36,73,56,30,4,89,16,75,71,43,62,26,29,41,64,40,90,92,8,85,81,82,56,24,11,47,38,22,27,51,62,47,18,92,89,16,77,41,32,12,52,91,66,77,26,43,28,74,94,84,89,93,90,56,92,71,77,87,90,88,54,50,91,88,48,83,95,93,89,91,60,91,35,91,65,61,88,95,95,88,90,87,70,91,88,93,91,88,89,91,90,81,70,97,82,89,95
2004-06-01,2004-06-01,2004,6,2004-06,3,40,59,0,14,15,51,35,87,49,33,71,24,38,8,53,87,92,85,35,7,25,46,17,42,24,53,93,65,61,77,74,99,62,23,20,9,53,57,24,83,34,36,77,86,25,31,31,5,66,58,37,61,28,32,23,88,10,71,22,89,29,100,26,19,16,67,14,95,47,14,47,59,54,45,27,74,30,20,15,80,79,97,59,79,37,34,55,40,73,76,83,57,82,54,82,82,67,32,24,92,53,13,69,78,31,68,38,83,61,2,5,19,67,20,60,39,23,14,32,88,41,42,8,68,28,44,44,48,34,25,15,53,22,60,100,32,49,35,8,73,71,96,51,14,58,23,48,17,92,95,33,68,65,36,42,32,80,41,30,47,12,75,51,11,37,33,65,41,16,43,32,24,41,38,18,22,92,42,76,58,14,79,28,27,23,38,74,48,95,82,9,13,68,66,76,30,34,68,34,27,4,83,16,65,68,43,67,52,30,41,77,36,93,96,7,78,49,68,57,21,10,44,39,24,26,29,48,45,16,91,82,19,78,44,22,10,51,65,68,87,26,38,25,79,98,87,94,94,95,57,96,80,80,83,92,96,54,50,93,73,45,91,98,98,94,93,62,91,36,88,80,66,96,96,95,92,86,91,70,92,90,94,93,100,89,98,92,81,72,91,87,93,88
2004-07-01,2004-07-01,2004,7,2004-07,3,31,61,0,11,17,45,42,83,33,21,60,24,35,6,55,100,79,83,24,9,15,43,14,34,35,61,95,61,61,74,73,63,50,22,20,9,63,58,21,79,34,36,74,89,21,31,35,6,81,57,34,62,30,26,35,85,11,85,21,100,34,100,25,19,16,69,12,93,22,19,68,51,52,44,30,56,31,8,15,77,92,90,53,63,24,36,49,38,66,90,61,65,79,51,81,75,97,28,23,95,50,13,60,85,26,51,40,84,53,2,6,18,66,18,61,41,23,13,26,87,42,39,8,64,26,44,37,48,40,24,14,55,16,62,78,28,63,31,7,62,72,93,54,13,53,24,56,18,98,81,24,83,60,38,48,35,70,39,30,51,14,70,30,11,33,33,62,35,17,46,35,26,45,34,18,20,99,47,71,41,12,86,24,21,21,52,91,34,92,85,10,13,68,48,79,27,35,68,31,27,4,78,19,88,70,98,63,38,29,58,63,42,77,85,7,81,55,66,60,23,11,39,35,27,27,27,46,44,17,80,78,18,80,55,26,9,44,57,69,82,19,33,22,79,98,90,91,96,100,55,100,78,87,83,96,96,57,52,93,73,45,100,100,93,98,97,58,96,37,90,71,73,98,98,96,100,90,94,72,98,97,100,94,95,94,95,98,89,73,94,89,100,100
2004-08-01,2004-08-01,2004,8,2004-08,3,28,73,100,10,18,45,42,86,34,24,64,25,36,7,52,85,82,98,30,8,13,40,16,36,33,53,96,75,57,83,76,70,55,24,16,9,53,71,22,91,37,37,82,83,24,32,32,6,68,74,35,74,27,36,27,91,10,79,22,87,36,83,24,19,17,100,12,91,44,21,64,58,57,52,22,58,32,15,13,90,82,90,56,82,34,49,43,42,69,79,62,98,76,53,84,85,54,31,23,98,49,13,69,100,26,66,39,93,51,2,5,21,72,17,66,42,24,14,25,85,44,39,6,71,27,44,45,42,61,26,11,55,24,60,72,28,46,28,6,83,100,85,69,13,54,25,59,18,87,87,44,83,64,35,39,38,71,43,30,34,14,77,85,13,31,37,59,39,18,48,35,28,40,35,26,35,93,51,73,30,13,85,28,19,27,39,90,30,93,84,9,16,69,40,81,26,33,68,25,30,3,75,20,71,64,46,70,92,27,56,63,43,78,82,6,85,68,70,62,26,8,49,36,28,26,56,52,39,16,74,77,17,89,51,46,10,49,62,69,80,27,36,24,80,95,92,96,100,100,56,95,86,95,85,96,96,58,56,96,74,48,97,100,97,100,100,61,100,36,98,68,71,100,97,95,98,90,96,73,100,95,97,98,93,95,99,98,96,73,96,83,97,91
2004-09-01,2004-09-01,2004,9,2004-09,3,51,54,0,24,16,64,45,87,49,34,86,24,36,7,55,78,91,95,22,7,29,70,18,41,43,56,90,57,63,74,88,69,75,24,21,11,55,70,23,91,35,41,74,84,27,43,31,5,88,54,36,64,34,36,26,87,11,73,22,87,59,71,27,18,19,68,12,89,51,16,58,57,57,50,22,67,30,63,9,100,78,87,52,76,42,43,45,51,73,68,64,66,95,55,77,87,55,30,24,96,50,12,82,74,100,100,43,82,51,5,6,22,66,17,65,39,24,14,39,85,43,38,8,100,27,43,50,46,52,27,15,52,19,66,65,27,69,37,7,79,67,89,64,16,53,25,58,19,76,89,28,79,75,43,51,37,68,30,31,45,12,64,59,13,31,32,71,45,18,37,34,25,40,39,21,21,90,47,75,27,15,80,39,28,22,38,65,31,83,88,9,13,61,45,77,27,26,69,35,29,3,77,18,54,75,53,75,47,27,60,59,79,76,77,7,80,60,69,60,31,11,37,43,23,25,43,47,41,15,77,92,18,80,49,73,8,42,62,66,76,28,38,28,98,85,88,93,93,94,54,94,81,100,81,86,92,53,54,91,70,52,83,93,90,93,91,66,93,34,93,65,64,83,94,94,87,90,93,71,88,94,93,89,88,100,95,94,86,70,92,90,91,90
2004-10-01,2004-10-01,2004,10,2004-10,3,75,67,0,39,16,96,65,85,61,48,97,25,41,9,57,72,89,95,21,7,31,84,19,44,61,62,86,75,59,73,89,60,86,33,19,11,60,81,25,84,34,36,73,78,32,26,31,5,77,74,34,59,34,30,31,85,11,94,22,85,31,66,27,20,20,82,12,84,24,18,68,59,57,50,17,72,31,18,7,87,63,78,51,81,29,43,53,57,77,69,60,57,79,64,75,82,52,36,23,91,49,13,73,57,24,53,41,82,56,3,5,22,66,17,63,37,23,14,37,76,43,34,9,63,27,42,47,47,42,24,15,52,23,68,58,28,55,38,7,84,65,94,61,16,54,23,49,19,72,87,30,72,68,20,49,28,79,31,32,41,16,72,53,10,32,32,69,43,17,39,39,23,38,34,18,22,86,43,76,25,14,81,28,32,22,35,81,35,81,78,9,12,54,48,71,26,25,75,41,28,3,68,18,53,60,40,57,52,32,57,67,49,76,76,7,79,61,67,60,25,11,36,47,20,29,41,47,42,15,79,91,20,77,51,65,10,50,64,64,76,22,35,26,77,85,88,86,86,89,51,88,91,77,79,77,90,52,56,91,71,46,70,89,84,90,88,58,92,33,94,66,60,79,92,95,87,89,94,71,82,94,79,85,81,94,92,89,88,68,90,88,85,75
